ID,Taxon,Rank
1123936,Ourisia_caespitosa_x_Ourisia_macrophylla_subsp._lactea,species
1748261,Veronica_jacquinii_x_Veronica_orbiculata,species
581116,Veronica_chathamica_x_Veronica_dieffenbachii,species
508209,Veronica_pulvinaris_x_Veronica_hookeri,species
508211,Veronica_chionohebe_x_Veronica_trifida,species
51610,Antirrhinum_majus_x_Antirrhinum_hispanicum,species
1072966,Antirrhinum_majus_x_Antirrhinum_molle,species
752254,Ocimum_bascilicum_x_Ocimum_gratissimum,species
1161400,Plectranthus_hilliardiae_x_Plectranthus_saccatus,species
1945646,Micromeria_lepida_x_Micromeria_pedro-luisii,species
1520123,Salvia_albicaulis_x_Salvia_granitica,species
1520007,Salvia_lanceolata_x_Salvia_africana,species
1933694,Salvia_suffruticosa_x_Salvia_bracteata,species
1268209,Origanum_syriacum_x_Origanum_laevigatum,species
997685,Phlomis_crinita_x_Phlomis_lychnitis,species
997686,Phlomis_lychnitis_x_Phlomis_purpurea,species
1030014,Galeopsis_bifida_x_Galeopsis_tetrahit,species
1030015,Galeopsis_bifida_x_Galeopsis_pubescens,species
141807,Phyllostegia_glabra_x_grandiflora,species
1441387,Paulownia_tomentosa_x_Paulownia_fortunei,species
1274660,Paulownia_fortunei_x_Paulownia_tomentosa,species
1037325,Lithospermum_incisum_x_Lithospermum_mirabile,species
1344464,Onosma_arenaria_x_Onosma_echioides,species
1778332,Pulmonaria_mollis_x_Pulmonaria_obscura,species
1778331,Pulmonaria_angustifolia_x_Pulmonaria_obscura,species
1463680,Mertensia_ciliata_x_Mertensia_perplexa,species
1463682,Mertensia_umbratilis_x_Mertensia_cusickii,species
1463681,Mertensia_oreophila_x_Mertensia_oblongifolia,species
1463678,Mertensia_campanulata_x_Mertensia_oblongifolia,species
1463679,Mertensia_ciliata_x_Mertensia_bakeri,species
691906,Phacelia_minor_x_Phacelia_parryi,species
1242859,Tiedemannia_filiformis_x_Tiedemannia_filiformis_subsp._greenmannii,species
173857,Osmorhiza_berteroi_x_Osmorhiza_occidentalis,species
1913020,Daucus_carota_subsp._sativus_x_Daucus_carota_subsp._carota,subspecies
1472337,Daucus_carota_subsp._capillifolius_x_Daucus_carota,subspecies
2078686,Ilex_cassine_x_Ilex_cassine_subsp._myrtifolia,species
1235869,Nymphoides_aquatica_x_Nymphoides_cordata,species
1269071,Clermontia_grandiflora_x_Clermontia_micrantha,species
1269073,Clermontia_montis-loa_x_Clermontia_parviflora,species
1269072,Clermontia_kakeana_x_Clermontia_micrantha,species
268266,Pratia_angulata_x_Pratia_perpusilla,species
1955307,Campanula_baumgartenii_x_Campanula_rotundifolia,species
19023,Krigia_montana_x_Krigia_biflora,species
1481789,Lactuca_sativa_x_Lactuca_serriola,species
1922235,Notoseris_triflora_x_Notoseris_khasiana,species
1406380,Notoseris_scandens_x_Notoseris_yakoensis,species
1405055,Pilosella_caespitosa_x_Pilosella_aurantiaca,species
1405054,Hieracium_bauhinii_x_Hieracium_pilosella,species
1405056,Hieracium_floribundum_x_Hieracium_pilosella,species
221187,Hieracium_lactucella_x_Hieracium_onegense,species
1405057,Hieracium_iseranum_x_Hieracium_pilosella,species
1405052,Hieracium_aurantiacum_x_Hieracium_lactucella,species
1405053,Hieracium_aurantiacum_x_Hieracium_pilosella,species
2022654,Tolpis_coronopifolia_x_Tolpis_santosii,species
125629,Cichorium_intybus_x_Cichorium_endivia,species
1632791,Helminthotheca_aculeata_subsp._maroccana_x_Helminthotheca_comosa,species
463618,Paranephelius_ovatus_x_Paranephelius_uniflorus,species
1569384,Paralychnophora_bicolor_x_Paralychnophora_patriciana,species
1569387,Eremanthus_capitatus_x_Paralychnophora_reflexoauriculata,species
1569389,Eremanthus_erythropappus_x_Piptolepis_ericoides,species
