id,accepted_plant_name_id,match_type
115876,383597-wcs,strict match
171017,383594-wcs,strict match
859274,457149-wcs,strict match
115877,383599-wcs,strict match
179188,383583-wcs,strict match
414530,383581-wcs,strict match
182487,383601-wcs,strict match
179189,383596-wcs,strict match
414533,383598-wcs,strict match
2185202,520475-wcs,strict match
58033,383585-wcs,strict match
414532,383584-wcs,strict match
414531,383582-wcs,strict match
203823,383595-wcs,strict match
1238149,385197-wcs,strict match
179222,385245-wcs,strict match
179200,385175-wcs,strict match
466907,385243-wcs,strict match
1128771,385174-wcs,strict match
179225,385254-wcs,strict match
1238150,469809-wcs,strict match
179190,385135-wcs,strict match
179215,385226-wcs,strict match
179226,385256-wcs,strict match
179227,385258-wcs,strict match
179209,385204-wcs,strict match
1128770,385152-wcs,strict match
179202,385183-wcs,strict match
179206,385197-wcs,strict match
179193,385159-wcs,strict match
179229,385260-wcs,strict match
179194,385160-wcs,strict match
179210,385206-wcs,strict match
1848925,385265-wcs,strict match
3302,385148-wcs,strict match
179199,385172-wcs,strict match
179220,385236-wcs,strict match
133428,385149-wcs,strict match
1238148,469808-wcs,strict match
179232,385150-wcs,strict match
1128772,385220-wcs,strict match
179195,385161-wcs,strict match
171018,385188-wcs,strict match
3301,385178-wcs,strict match
179201,385181-wcs,strict match
179204,385193-wcs,strict match
1128773,385234-wcs,strict match
179203,385186-wcs,strict match
179228,385259-wcs,strict match
179216,385228-wcs,strict match
179218,385230-wcs,strict match
173274,385265-wcs,strict match
179191,385147-wcs,strict match
251413,385185-wcs,strict match
466908,385244-wcs,strict match
